Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
Abacavir ADME	4/9	0.000811858587078863	0.0124989855481491	4	0.444444444444444	ADH1A;SLC22A1;PCK1;ABCG2
Adrenoceptors	4/9	0.000811858587078863	0.0124989855481491	4	0.444444444444444	ADRB1;ADRA1B;ADRA1A;ADRA2B
Platelet Activation, Signaling and Aggregation	27/262	0.000812691241402287	0.0124989855481491	27	0.103053435114504	ITIH4;ECM1;SERPINE1;ENDOD1;A1BG;THBS1;SERPINA4;GNA14;ISLR;CLEC3B;TBXA2R;SPP2;FYN;CLEC1B;P2RY12;TGFB3;HGF;IGF2;PLA2G4A;IGF1;PPBP;ADRA2B;SELP;F8;MMRN1;LCP2;F2RL2
O-glycosylation of TSR Domain-Containing Proteins	8/39	0.000884865593138666	0.0134388961957935	8	0.205128205128205	SPON1;ADAMTS2;ADAMTS13;ADAMTS1;ADAMTSL3;ADAMTSL2;CFP;THBS1
Signaling by Retinoic Acid	8/41	0.00125063095875262	0.0187594643812893	8	0.195121951219512	ADH4;ALDH1A3;CYP26A1;ADH1C;ADH1A;RDH16;RARB;ALDH8A1
FCGR Activation	13/94	0.00140392467098102	0.0208020545761212	13	0.138297872340426	IGKV1-5;IGHG3;IGHG4;HCK;IGLV3-25;FCGR3A;IGHG1;IGHG2;IGKC;IGLV6-57;FYN;IGLV3-19;IGKV3-20
Synthesis of Bile Acids and Bile Salts	7/33	0.0015022930098218	0.0219913976738974	7	0.212121212121212	CYP39A1;CH25H;AKR1D1;CYP7B1;CYP8B1;SLC27A2;SLC27A5
Phenylalanine and Tyrosine Metabolism	4/11	0.00195137749187851	0.0282252815789571	4	0.363636363636364	GSTZ1;HGD;TAT;HPD
Adaptive Immune System	65/854	0.00237163337878872	0.0339004065320976	65	0.0761124121779859	IGHM;ITK;SIGLEC9;CD80;PTPN22;CD3E;FCGR3A;CD33;SH3GL2;PRKG1;LAG3;CD300A;SFTPD;CYBB;PDCD1LG2;CD8B;CD8A;KLRF1;LCP2;CD226;TLR4;S100A8;IGLV3-19;CLEC4G;CD274;KLRB1;CD1D;CD1C;LILRA2;LILRA3;LILRA5;SOCS3;IGLV3-25;CD79A;KLRK1;IGKC;IGLV6-57;SLAMF7;FYN;SLAMF6;CD14;KLRC1;XDH;TRAT1;SIGLEC11;IGKV1-5;CRTAM;SH2D1A;SIGLEC10;LILRB1;LILRB2;LILRB5;CD4;PTPRC;CLEC2B;SELL;CD207;HLA-DPB1;KLRD1;SIGLEC1;FCGR2B;SIGLEC7;IGKV3-20;SIGLEC5;SPSB4
Signaling by Nuclear Receptors	26/270	0.00262691179074528	0.0356080013092146	26	0.0962962962962963	CETP;ADH1C;ADH1A;TGFA;GATA3;AREG;ADH4;MYC;RDH16;PCK1;PLTP;MMP7;MMP2;APOC4;FOS;ESR1;EREG;CYP26A1;ALDH1A3;NCOR1;CXCL12;ANGPTL3;RARB;FOSB;TFF1;ALDH8A1
Aflatoxin Activation and Detoxification	5/19	0.00263593225789828	0.0356080013092146	5	0.263157894736842	GGT6;AKR7A3;CYP1A2;DPEP2;CYP3A4
Diseases of Hemostasis	5/19	0.00263593225789828	0.0356080013092146	5	0.263157894736842	F8;ADAMTS13;F9;F11;KLKB1
Choline Catabolism	3/6	0.00266693672357081	0.0356080013092146	3	0.5	DMGDH;BHMT;SARDH
LDL Remodeling	3/6	0.00266693672357081	0.0356080013092146	3	0.5	CETP;APOF;LPA
MET Receptor Activation	3/6	0.00266693672357081	0.0356080013092146	3	0.5	HGF;SPINT2;HGFAC
Erythrocytes Take up Carbon Dioxide and Release Oxygen	4/12	0.00280443941821188	0.0366386440121229	4	0.333333333333333	CYB5R2;CA2;HBB;HBA1
O2 CO2 Exchange in Erythrocytes	4/12	0.00280443941821188	0.0366386440121229	4	0.333333333333333	CYB5R2;CA2;HBB;HBA1
Neutrophil Degranulation	40/478	0.0032428668869782	0.0419157794433885	40	0.0836820083682008	ARHGAP9;CDA;SIGLEC9;CLEC12A;GSTP1;FGL2;FPR1;HBB;CXCL1;SLC2A3;A1BG;CFP;LILRA3;PLAC8;HK3;FCGR3B;COTL1;S100A12;CD14;ACAA1;CD33;CR1;MME;CD300A;NFAM1;CYBB;PPBP;LILRB2;PTPRB;PTPRC;VNN1;SELL;TCN1;CRISPLD2;CEACAM6;SLCO4C1;DSG1;SLC27A2;S100A8;SIGLEC5
