Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
G2 M Checkpoints	22/137	1.38762531161542e-10	5.60726773648233e-09	22	0.160583941605839	BLM;RFC3;RFC4;MCM8;CDC7;MCM10;CDC6;BRCA1;CDC25C;CDC25A;CCNB2;BRIP1;CCNB1;DBF4;EXO1;CHEK1;MCM3;MCM4;SFN;MCM6;GTSE1;MCM2
Polo-like Kinase Mediated Events	9/16	1.81093029305986e-10	6.99963926317484e-09	9	0.5625	CCNB2;CCNB1;CENPF;PLK1;MYBL2;LIN9;CDC25C;FOXM1;CDC25A
DNA Replication	22/143	3.25723994945823e-10	1.20653596461182e-08	22	0.153846153846154	PRIM2;GINS2;FEN1;RFC3;RFC4;UBE2C;MCM8;PRIM1;GMNN;GINS4;CDC7;MCM10;CDC6;CCNA2;DBF4;CCNE2;CCNE1;POLE2;MCM3;MCM4;MCM6;MCM2
Synthesis of DNA	19/108	5.08119980598892e-10	1.80687465100966e-08	19	0.175925925925926	PRIM2;GINS2;FEN1;RFC3;RFC4;UBE2C;MCM8;PRIM1;GMNN;GINS4;CDC6;CCNA2;CCNE2;CCNE1;POLE2;MCM3;MCM4;MCM6;MCM2
Unwinding of DNA	7/12	1.5018386127333e-08	5.13513279507656e-07	7	0.583333333333333	GINS2;MCM8;GINS4;MCM3;MCM4;MCM6;MCM2
G0 and Early G1	9/27	5.51447826590468e-08	1.81569302903306e-06	9	0.333333333333333	TOP2A;CCNA2;CCNE2;CCNE1;E2F1;MYBL2;LIN9;CDC6;CDC25A
TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest	7/14	6.17428103544655e-08	1.89896356831652e-06	7	0.5	CCNA2;CCNE2;CCNE1;E2F1;ARID3A;E2F7;E2F8
Signaling by Rho GTPases, Miro GTPases and RHOBTB3	48/688	6.19459431734297e-08	1.89896356831652e-06	48	0.0697674418604651	ARHGAP11A;ERCC6L;DOCK3;RASGRF2;KIF14;CDCA8;BUB1B;IQGAP3;CENPA;AURKB;LRRC1;LMNB1;CDC20;BAIAP2L2;DSN1;RACGAP1;NUF2;MUC13;PAK6;SFN;KNTC1;ECT2;BUB1;DYNC1I1;PLK1;CDC25C;NDC80;ZWINT;CENPE;ANLN;DEPDC1B;CENPF;KIF18A;DIAPH3;CENPH;CENPI;PRC1;CCNE1;DLG5;CENPK;CENPM;BIRC5;CENPN;CENPQ;SPC24;ITGB3BP;SPC25;MAD2L1
Signaling by Rho GTPases	47/672	7.9411509389795e-08	2.35322772825092e-06	47	0.0699404761904762	ARHGAP11A;ERCC6L;DOCK3;RASGRF2;KIF14;CDCA8;BUB1B;IQGAP3;CENPA;AURKB;LRRC1;LMNB1;CDC20;BAIAP2L2;DSN1;RACGAP1;NUF2;MUC13;PAK6;SFN;KNTC1;ECT2;BUB1;DYNC1I1;PLK1;CDC25C;NDC80;ZWINT;CENPE;ANLN;DEPDC1B;CENPF;KIF18A;DIAPH3;CENPH;CENPI;PRC1;DLG5;CENPK;CENPM;BIRC5;CENPN;CENPQ;SPC24;ITGB3BP;SPC25;MAD2L1
TP53 Regulates Transcription of Cell Cycle Genes	11/49	1.72896763974189e-07	4.95823300558238e-06	11	0.224489795918367	CCNA2;CCNB1;CCNE2;CCNE1;E2F1;SFN;ARID3A;CDC25C;E2F7;AURKA;E2F8
Condensation of Prometaphase Chromosomes	6/11	2.94658473026356e-07	8.18598070376345e-06	6	0.545454545454545	CCNB2;CCNB1;NCAPG;NCAPD2;SMC4;NCAPH
Chromosome Maintenance	16/119	5.67901034073016e-07	1.52989096754822e-05	16	0.134453781512605	PRIM2;BLM;FEN1;RFC3;RFC4;PRIM1;CENPA;CCNA2;CENPH;CENPI;CENPK;CENPM;OIP5;CENPN;CENPQ;ITGB3BP
Transcriptional Regulation by TP53	30/362	6.13039987949137e-07	1.60291926260818e-05	30	0.0828729281767956	BLM;EHMT2;COX4I2;BRCA1;AURKB;AURKA;BRIP1;CCNB1;EXO1;CHEK1;E2F1;SFN;E2F7;E2F8;FANCI;G6PD;RFC3;RFC4;CDKN2A;ARID3A;CDC25C;CCNA2;TPX2;CCNE2;MSH2;CCNE1;FANCD2;RRAGD;BIRC5;CDK5R1
Mitotic G2-G2 M Phases	20/186	9.06560828338992e-07	2.25323242182456e-05	20	0.10752688172043	PLK4;CEP152;PLK1;FBXL18;HMMR;LIN9;CDC25C;FOXM1;CDC25A;AURKA;CCNA2;CCNB2;TPX2;CCNB1;CENPF;E2F1;CEP72;NEK2;MYBL2;GTSE1
HDR Through Homologous Recombination (HRR)	12/69	9.12445075204544e-07	2.25323242182456e-05	12	0.173913043478261	RAD51AP1;RFC3;BLM;BRIP1;RFC4;RAD51;EME1;EXO1;FIGNL1;POLE2;CHEK1;BRCA1
G1 S-Specific Transcription	8/29	1.57810939265545e-06	3.79172770289376e-05	8	0.275862068965517	RRM2;CCNE1;E2F1;LIN9;TK1;CDC6;TYMS;CDC25A
Diseases of DNA Repair	10/51	2.37909905433611e-06	5.56583962974947e-05	10	0.196078431372549	RAD51AP1;RFC3;NEIL3;BLM;BRIP1;RFC4;RAD51;MSH2;EXO1;BRCA1
G2 M Transition	19/184	3.10492915847546e-06	7.07764620996074e-05	19	0.103260869565217	PLK4;CEP152;PLK1;FBXL18;HMMR;LIN9;CDC25C;FOXM1;CDC25A;AURKA;CCNA2;CCNB2;TPX2;CCNB1;CENPF;CEP72;NEK2;MYBL2;GTSE1
Homology Directed Repair	15/122	3.99593701251056e-06	8.88097001030473e-05	15	0.122950819672131	POLQ;BLM;FEN1;RFC3;RFC4;BRCA1;RAD51AP1;CCNA2;BRIP1;RAD51;EME1;EXO1;FIGNL1;POLE2;CHEK1
