Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
Positive Regulation of Interleukin-2 Production (GO:0032743)	6/26	0.00206365072286859	0.0303262853956098	6	0.230769230769231	CD4;PTPRC;IRF4;CD80;IL1B;PDE4B
Positive Regulation of Natural Killer Cell Mediated Immunity (GO:0002717)	6/26	0.00206365072286859	0.0303262853956098	6	0.230769230769231	KLRK1;CRTAM;SLAMF6;CD226;KLRD1;KLRC1
Positive Regulation of Biosynthetic Process (GO:0009891)	12/87	0.00216105518920556	0.0316139883561157	12	0.137931034482759	EGR1;NNMT;AGXT2;TGFB3;IL1B;HBB;HSD17B13;PTGS2;PCK1;KLF4;TLR4;ESR1
Lymphocyte Differentiation (GO:0030098)	11/76	0.00221026302947464	0.032188199884196	11	0.144736842105263	CD79A;CD4;PTPRC;AXL;NFAM1;PTPN22;IKZF1;GATA3;MS4A1;PBX1;RAG1
T Cell Receptor Signaling Pathway (GO:0050852)	12/88	0.00238376037719944	0.0345591807151829	12	0.136363636363636	ITK;PTPRC;CD8B;CD8A;PDE4B;PTPN22;LCP2;FYN;GATA3;VTCN1;CD3E;SKAP1
Cellular Response to Metal Ion (GO:0071248)	14/112	0.00249481266611191	0.0360077203104455	14	0.125	LRRK2;MT1M;MT1X;ANK3;BMP6;CRHBP;MT1A;MT1F;MT1G;MT1H;MT1B;SLC13A5;FBP1;SNCA
Intracellular Signaling Cassette (GO:0141124)	32/354	0.0025180543416439	0.0361816430512655	32	0.0903954802259887	ARHGAP9;DIRAS3;PDE1A;LRRK2;FPR1;DEFB1;PIK3C2G;GATA3;CXCR6;ARHGAP15;NCALD;ZFP36;PDE11A;EDNRB;FCGR3B;MYC;PDE4B;CCL3;CCR1;P2RY12;NFE2;DUSP5;PDE2A;SMAD9;FOS;SELE;FOSL1;TIAM1;RCAN1;SLC7A8;AGTR1;PDE7B
Positive Regulation of Interleukin-1 Beta Production (GO:0032731)	9/56	0.0026324922980942	0.0369907095361204	9	0.160714285714286	EGR1;IL6;AIM2;CCL3;NLRC4;CCL19;LILRA2;TLR4;LILRA5
Positive Regulation of Leukocyte Chemotaxis (GO:0002690)	9/56	0.0026324922980942	0.0369907095361204	9	0.160714285714286	CCR1;CSF1R;IL6;CXCL12;CCL5;SERPINE1;CCL2;PTN;THBS1
Embryonic Digestive Tract Development (GO:0048566)	5/19	0.00263593225789828	0.0369907095361204	5	0.263157894736842	PDGFRA;FOXF1;TCF21;RARB;FGFR2
Maintenance of Gastrointestinal Epithelium (GO:0030277)	5/19	0.00263593225789828	0.0369907095361204	5	0.263157894736842	NR1I2;TFF2;TFF1;TLR4;PBLD
Cellular Response to Growth Factor Stimulus (GO:0071363)	17/150	0.00266424530557132	0.0369907095361204	17	0.113333333333333	SEMA6A;EGR3;PDE2A;GDF2;SMAD9;KLF4;BMP6;TMEM100;NR4A1;ZFP36;SFRP1;CCL5;MT1G;GAS1;CCL2;SPRY2;WNT2
Negative Regulation of Leukocyte Migration (GO:0002686)	3/6	0.00266693672357081	0.0369907095361204	3	0.5	CD300A;HMOX1;BMP5
Positive Regulation of Icosanoid Secretion (GO:0032305)	3/6	0.00266693672357081	0.0369907095361204	3	0.5	CYP4F2;IL1B;CYP4A11
