Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
DNA Strand Elongation (GO:0022616)	4/12	0.000331750906910333	0.00954421839880496	4	0.333333333333333	RFC3;RFC4;MCM3;MCM4
DNA Strand Elongation Involved in DNA Replication (GO:0006271)	4/12	0.000331750906910333	0.00954421839880496	4	0.333333333333333	RFC3;RFC4;MCM3;MCM4
Regulation of Mitotic Sister Chromatid Separation (GO:0010965)	4/12	0.000331750906910333	0.00954421839880496	4	0.333333333333333	CCNB1;BIRC5;CDCA8;AURKB
Regulation of DNA-templated DNA Replication Initiation (GO:0030174)	4/12	0.000331750906910333	0.00954421839880496	4	0.333333333333333	GMNN;MCM3;MCM4;MCM6
Intracellular pH Elevation (GO:0051454)	3/6	0.000507055602604823	0.0142229096530653	3	0.5	CLN3;SLC26A3;SLC26A6
Metaphase/Anaphase Transition of Cell Cycle (GO:0044784)	3/6	0.000507055602604823	0.0142229096530653	3	0.5	CDC20;PLK1;TACC3
Establishment of Mitotic Spindle Localization (GO:0040001)	6/36	0.000654337387924268	0.0179065012012446	6	0.166666666666667	GPSM2;PLK1;NUSAP1;CENPA;NDC80;MAD2L1
Negative Regulation of Cell Cycle Process (GO:0010948)	6/36	0.000654337387924268	0.0179065012012446	6	0.166666666666667	CHEK1;NEK2;FBXO43;AURKB;E2F7;E2F8
Regulation of Mitotic Metaphase/Anaphase Transition (GO:0030071)	7/51	0.000792730914663199	0.0214323876205328	7	0.137254901960784	CDC20;CENPE;CCNB1;UBE2C;NSMCE2;PLK1;CDC6
Regulation of Exit From Mitosis (GO:0007096)	4/15	0.00085129549270731	0.022474201007473	4	0.266666666666667	UBE2C;CDCA5;BIRC5;KNTC1
Centromere Complex Assembly (GO:0034508)	4/15	0.00085129549270731	0.022474201007473	4	0.266666666666667	CENPE;CENPF;CENPI;OIP5
Regulation of Mitotic Cytokinesis (GO:1902412)	3/7	0.000867505120956571	0.0226358312956575	3	0.428571428571429	BIRC5;CDCA8;AURKB
Regulation of DNA Recombination (GO:0000018)	6/40	0.00116474437990057	0.0300423722815732	6	0.15	RAD51AP1;RAD51;MSH2;FIGNL1;CHEK1;KPNA2
Response to Ionizing Radiation (GO:0010212)	8/71	0.00129113971712123	0.0329240627865913	8	0.112676056338028	RAD51AP1;BLM;RAD51;MSH2;FANCD2;FIGNL1;BRCA1;ECT2
Regulation of Mitotic Centrosome Separation (GO:0046602)	3/8	0.00135701680991493	0.0334631397961439	3	0.375	CHEK1;NEK2;KIF11
Regulation of Nuclear Cell Cycle DNA Replication (GO:0033262)	3/8	0.00135701680991493	0.0334631397961439	3	0.375	DBF4;CDC7;DBF4B
Positive Regulation of Ubiquitin Protein Ligase Activity (GO:1904668)	3/8	0.00135701680991493	0.0334631397961439	3	0.375	CDC20;UBE2C;PLK1
Cellular Response to Alcohol (GO:0097306)	7/56	0.00139539398615189	0.0340354794013569	7	0.125	PTGFR;BLM;RAD51;TNFSF4;BRCA1;CYP7A1;ADCY6
Regulation of DNA-templated DNA Replication (GO:0090329)	4/17	0.00141494534527313	0.0341412618794935	4	0.235294117647059	GMNN;MCM3;MCM4;MCM6
Spindle Assembly (GO:0051225)	8/73	0.00154812920806178	0.0369574674775599	8	0.10958904109589	TPX2;KIFC1;BIRC5;CDCA8;NEK2;KIF11;AURKB;KIF15
Positive Regulation of Ubiquitin-Protein Transferase Activity (GO:0051443)	4/18	0.0017762669305176	0.0419572946534895	4	0.222222222222222	CDC20;UBE2C;PLK1;MAGEC2
Mitotic G2 DNA Damage Checkpoint Signaling (GO:0007095)	5/30	0.00185550115308763	0.0433723394534233	5	0.166666666666667	BLM;CHEK1;PLK1;BRCA1;DTL
Mitotic DNA Damage Checkpoint Signaling (GO:0044773)	7/59	0.00189971190128055	0.0439479742935417	7	0.11864406779661	BLM;EME1;FANCD2;CHEK1;PLK1;BRCA1;DTL
Regulation of Spindle Assembly (GO:0090169)	5/31	0.00215829512008961	0.0488098302956791	5	0.161290322580645	GPSM2;STIL;SPAG5;PLK1;SASS6
Establishment of Mitotic Spindle Orientation (GO:0000132)	5/31	0.00215829512008961	0.0488098302956791	5	0.161290322580645	GPSM2;PLK1;CENPA;NDC80;MAD2L1
Extracellular Matrix Disassembly (GO:0022617)	6/45	0.00217725898419144	0.0488098302956791	6	0.133333333333333	MMP12;MMP11;SH3PXD2B;NCAPG;LAMC1;MMP9
Regulation of Centriole Replication (GO:0046599)	4/19	0.00219687738853101	0.0488098302956791	4	0.210526315789474	PLK4;STIL;SASS6;BRCA1
