Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
Fat redistribution	3/7	0.00448278884917659	0.0269576716010806	3	0.428571428571429	CRP;AR;IL6
Hemoglobin SC Disease	3/7	0.00448278884917659	0.0269576716010806	3	0.428571428571429	THBD;HBB;HMOX1
Hepatitis B and hepatitis C	3/7	0.00448278884917659	0.0269576716010806	3	0.428571428571429	MMP2;GPT;MBL2
Hepatorenal Syndrome	3/7	0.00448278884917659	0.0269576716010806	3	0.428571428571429	NR1I2;HMOX1;TLR4
Hypertyrosinemia	3/7	0.00448278884917659	0.0269576716010806	3	0.428571428571429	TAT;GLYAT;HPD
Hypotriglyceridemia	3/7	0.00448278884917659	0.0269576716010806	3	0.428571428571429	CETP;ANGPTL3;ANGPTL4
Limited pronation/supination of forearm	3/7	0.00448278884917659	0.0269576716010806	3	0.428571428571429	COLEC11;COLEC10;MASP1
Mild growth deficiency	3/7	0.00448278884917659	0.0269576716010806	3	0.428571428571429	CCBE1;IGFALS;FAT4
Mild postnatal growth retardation	3/7	0.00448278884917659	0.0269576716010806	3	0.428571428571429	CCBE1;IGFALS;FAT4
Myocardial rupture	3/7	0.00448278884917659	0.0269576716010806	3	0.428571428571429	CRP;MSRA;SERPINE1
Oxalosis	3/7	0.00448278884917659	0.0269576716010806	3	0.428571428571429	IL6;CCL5;CCL2
Recurrent opportunistic infections	3/7	0.00448278884917659	0.0269576716010806	3	0.428571428571429	PTPRC;IL7R;RAG1
Congenital diaphragmatic hernia	12/95	0.00452024269220244	0.0271598283322656	12	0.126315789473684	CD79A;EDNRB;WNT11;EPO;FOXF1;RARB;NRG1;GPC4;TEK;ZFPM2;FREM1;FBLN5
Leishmaniasis, Cutaneous	8/50	0.00460700715676597	0.0276342344538894	8	0.16	FCN2;IL6;MMP2;IL1B;CCL2;FAS;SLC5A1;TLR4
Giant Cell Tumors	8/50	0.00460700715676597	0.0276342344538894	8	0.16	AR;IL6;MMP2;CCL2;FOS;IGF1;FGF23;FGFR2
Adrenocortical carcinoma	19/185	0.00469664974204849	0.028126915180309	19	0.102702702702703	SEMA6A;IGF2;KCNA3;TCF21;LIFR;PTN;ESR1;THBS1;BMP5;NR4A2;CYP2A6;ZEB2;PDE11A;EDNRB;FOLH1;CYP2B6;SULT1E1;AGTR1;ABCG2
Sarcoma	51/658	0.00469709151499368	0.028126915180309	51	0.0775075987841945	CYFIP2;VIPR1;SERPINE1;PRF1;RND3;MYC;CD38;PRIMA1;PDGFRA;LAG3;SEMA6A;MME;IGFBP3;HGF;MMP2;NPY1R;KRT7;SERPINB9;FOS;TGFBR3;AR;SFRP1;F9;RBP1;IRF8;SLC27A5;ENG;CSF1R;CD274;GSTP1;NR1I3;NR1I2;TGFA;PTGS2;CYP3A4;THBS1;KLRK1;CCL2;ARSF;NCAM1;NGFR;NAPSA;IGF2;IGF1;KLF4;LYVE1;ESR1;IL6;NR4A3;SNAI1;TEK
Hypothyroidism	25/268	0.00473804826569998	0.0283061583873466	25	0.0932835820895522	CETP;NR1I3;NR1I2;TNFRSF11B;PTPN22;SEMA3E;SERPINA7;BACH2;IGHG3;CYP2B6;RELN;IYD;NCAM1;MBL2;KCNJ10;IGFBP3;NRG1;IGF1;APOA5;NCOR1;ANGPTL3;ANGPTL4;MT1B;LPA;SHBG
Pneumonia, Bacterial	7/40	0.0047430211708665	0.0283061583873466	7	0.175	CRP;CYP2J2;IL6;CR1;SFTPD;CXCL1;CXCL2
Anthrax disease	7/40	0.0047430211708665	0.0283061583873466	7	0.175	SELP;ITIH4;ADAMTS13;SULT1E1;PLA2G2A;NLRC4;ANTXR2
Aspirin exacerbated respiratory disease	7/40	0.0047430211708665	0.0283061583873466	7	0.175	IL33;PTGER2;IL1B;HLA-DPB1;PTGS2;PTGDS;PTGS1
Brain Infarction	9/61	0.00475609192747022	0.0283602516113178	9	0.147540983606557	CRP;THBD;IL6;HGF;IL1B;TBXAS1;AGTR1;IGF2;CYBB
beta Thalassemia	15/133	0.00482595653228437	0.0287526265450411	15	0.112781954887218	EPO;IGF2;HBB;ANK2;TNFRSF11B;IGF1;HBA1;CYP3A4;DHODH;ATOH8;HLA-DPB1;HMOX1;CYP2E1;SHBG;HAMP
Carcinoma, Lewis Lung	13/108	0.00485136254425941	0.0288554152002253	13	0.12037037037037	GPR65;HGF;MMP2;IL18;TGFA;IRAK3;PTGS2;THBS1;IL1RL1;IL6;ADAMTS1;IL1B;TLR4
Severe myopia	13/108	0.00485136254425941	0.0288554152002253	13	0.12037037037037	EGR1;LUM;HGF;IGFBP3;PRELP;IGF1;FOS;ESR1;DCN;ZEB2;SLITRK6;SLC39A5;FMOD
Cardiomegaly	17/159	0.00485966600990527	0.0288805340202431	17	0.106918238993711	CRP;TGFB3;IGF2;FHL2;IL18;HBB;ABCC9;IGF1;ADRA1B;RCAN1;CPT2;IL1B;AGTR1;CYP1A1;HMOX1;CYP2E1;PRKG1
Hyperalgesia, Secondary	11/84	0.00487772208254515	0.0289392430010516	11	0.130952380952381	THBD;IL6;IL1B;NTF3;PROK2;CCL2;TNFRSF11B;FOS;IGF1;PTGS2;PTGS1
Allodynia	11/84	0.00487772208254515	0.0289392430010516	11	0.130952380952381	THBD;IL6;IL1B;NTF3;PROK2;CCL2;TNFRSF11B;FOS;IGF1;PTGS2;PTGS1
PARKINSON DISEASE 2, AUTOSOMAL RECESSIVE JUVENILE	12/96	0.00492226313085483	0.0291546263097828	12	0.125	PACRG;GCH1;LRRK2;IL1B;GRM8;HMOX1;GFRA1;ABCC9;SLC17A8;PTGS2;ESR1;SNCA
Retinal Detachment	12/96	0.00492226313085483	0.0291546263097828	12	0.125	IL6;CXCL12;GCH1;EPO;SLCO4A1;NPY1R;CCL2;FAS;CXCL1;PTPN22;TEK;NR3C2
Hepatoma, Morris	14/121	0.0050623740777521	0.0299594345504426	14	0.115702479338843	HGF;GSTP1;NR1I3;TGFA;APOA4;CYP2A7;CYP2C8;IL6;CYP2A6;CA3;MYC;CYP1A2;CYP2E1;TEK
Failure to Thrive	10/73	0.00516183346161721	0.0303294514351419	10	0.136986301369863	GHR;NR4A1;IL6;SDS;MYC;IGFBP3;MRGPRF;IGF2;IGFALS;IGF1
Withdrawal Symptoms	10/73	0.00516183346161721	0.0303294514351419	10	0.136986301369863	CRP;ADH4;CYP2A6;ADH1B;CHRNA4;DBH;FOS;CYP3A4;NPTX2;UGT2B7
von Willebrand Disease, Type 1	4/14	0.00520730986892461	0.0303294514351419	4	0.285714285714286	F8;ADAMTS13;CLEC4M;F11
Angioedema	4/14	0.00520730986892461	0.0303294514351419	4	0.285714285714286	XPNPEP2;ABI3BP;HLA-DPB1;DNASE1L3
Diastolic hypertension	4/14	0.00520730986892461	0.0303294514351419	4	0.285714285714286	SDS;KCNA3;SARDH;ANTXR2
Familial hypobetalipoproteinemia	4/14	0.00520730986892461	0.0303294514351419	4	0.285714285714286	NPC1L1;ANGPTL3;LPA;MT1B
Freeman-Sheldon syndrome	4/14	0.00520730986892461	0.0303294514351419	4	0.285714285714286	NALCN;FREM1;FREM2;DHODH
Gastrointestinal symptom	4/14	0.00520730986892461	0.0303294514351419	4	0.285714285714286	CYP2C9;ADH1C;CYP2E1;CFTR
Nonspecific interstitial pneumonia	4/14	0.00520730986892461	0.0303294514351419	4	0.285714285714286	CD163;NR4A3;FOXF1;SERPINE1
Other specified iron deficiency anemias	4/14	0.00520730986892461	0.0303294514351419	4	0.285714285714286	CRP;C1QA;IL6;HAMP
Partial thromboplastin time increased (finding)	4/14	0.00520730986892461	0.0303294514351419	4	0.285714285714286	F8;F9;F11;KLKB1
POEMS Syndrome	4/14	0.00520730986892461	0.0303294514351419	4	0.285714285714286	IL6;HGF;IL1B;MYOM2
ROSE Cluster 5	4/14	0.00520730986892461	0.0303294514351419	4	0.285714285714286	ITIH4;CCL5;SCD5;CXCR6
Takotsubo Cardiomyopathy	4/14	0.00520730986892461	0.0303294514351419	4	0.285714285714286	SERPINE1;ADRB1;LPA;ESR1
Testicular Feminization	4/14	0.00520730986892461	0.0303294514351419	4	0.285714285714286	AR;IGFBP3;IGF2;LYVE1
Vascular occlusion	4/14	0.00520730986892461	0.0303294514351419	4	0.285714285714286	CRP;SLC24A3;SERPINE1;THBS1
Cockayne Syndrome, Type I	8/51	0.00521472976568466	0.0303294514351419	8	0.156862745098039	FCGR3A;IL6;FCGR3B;EPO;SERPINE1;IL18;CYBB;HMOX1
Malignant neoplasm of female breast	8/51	0.00521472976568466	0.0303294514351419	8	0.156862745098039	AR;ADH1B;NAT2;MYC;NR1I2;CYP1A1;ESR1;FGFR2
Psychoses, Drug	5/22	0.00522773816768481	0.0303294514351419	5	0.227272727272727	CAMK2B;GSTP1;NPY1R;ESR1;SNCA
Gastrointestinal inflammation	5/22	0.00522773816768481	0.0303294514351419	5	0.227272727272727	KLRK1;NR1I2;TRPV3;HMOX1;CCL2
Hemoglobin F Disease	5/22	0.00522773816768481	0.0303294514351419	5	0.227272727272727	EPO;HBB;HBA1;HAMP;DHODH
Hypotrichosis simplex	5/22	0.00522773816768481	0.0303294514351419	5	0.227272727272727	GALNT3;CCL2;NRG1;APCDD1;TLR4
Lower respiratory tract infection	5/22	0.00522773816768481	0.0303294514351419	5	0.227272727272727	CRP;FCN3;LAMA2;B3GAT1;CFTR
Shock	5/22	0.00522773816768481	0.0303294514351419	5	0.227272727272727	IL6;MMP2;IL1B;CCL2;TLR4
Convulsive Seizures	13/109	0.00524716373826407	0.0304172194426151	13	0.119266055045872	NGFR;BCHE;CHRNA4;SLC1A1;OXT;FOS;ADRA1B;PTGS2;SLC8A1;IL6;IL1B;ALPL;PVALB
Acute colitis	6/31	0.00526022744465564	0.0304182106644384	6	0.193548387096774	IL6;IL1B;CCL4;CXCL1;AREG;TLR4
Pulmonary Eosinophilia	6/31	0.00526022744465564	0.0304182106644384	6	0.193548387096774	P2RY12;IL33;IL1B;CCL2;ALPL;DNASE1L3
Thick skin	6/31	0.00526022744465564	0.0304182106644384	6	0.193548387096774	MMP2;ADAMTSL2;ABCC9;ANTXR2;IL7R;RAG1
Vomiting	19/187	0.00527248100683253	0.0304641800541719	19	0.101604278074866	GCDH;MME;MMAA;GSTP1;BCKDHB;B3GAT1;ETFDH;NR3C2;ZEB2;ACADL;CPT2;CDH23;SAA1;ALPL;FAS;MLYCD;CYP2E1;S100A8;OTC
Abnormal behavior	32/372	0.00531437367412173	0.0306811883078578	32	0.0860215053763441	GPM6A;CHRNA4;LRRK2;SLC1A1;PRICKLE2;OXT;SLC2A3;DBH;CYP2C19;CYP2B6;RELN;TDO2;NTF3;PDE4B;CCL2;NCAM1;GRIA3;EGR1;NTRK2;EGR3;SEMA6A;FAAH2;NRG1;ANK3;ESR1;AR;IL6;FEZ1;IL1B;ATF3;PVALB;FGFR2
Hyperalgesia, Primary	11/85	0.0053402005595325	0.0307800810752207	11	0.129411764705882	THBD;IL6;IL1B;NTF3;PROK2;CCL2;TNFRSF11B;FOS;IGF1;PTGS2;PTGS1
Hypogammaglobulinemia	11/85	0.0053402005595325	0.0307800810752207	11	0.129411764705882	IGHM;CCBE1;CD79A;CXCL12;EPO;SH2D1A;IKZF1;FAT4;SERPINA7;MS4A1;CFTR
Gilles de la Tourette syndrome	12/97	0.00535228905181609	0.0308246557434941	12	0.123711340206186	NLGN4X;TDO2;GCH1;HDC;CYP1A2;PRF1;NTN4;CCL2;DBH;CD69;ADRA1A;CBLN2
Parkinson Disease	76/1064	0.00543636469645403	0.0312834059524403	76	0.0714285714285714	EPO;GPR65;LRRK2;PTPN22;AQP4;DBH;RGS2;PHYHD1;STAB1;EPHB1;SH3GL2;PACRG;ZGPAT;HGF;IL18;NRG1;LIFR;AR;DEPDC7;F9;MMRN1;FEZ1;IL1B;CYP2E1;IGFALS;FBP1;TLR4;PVALB;LY6E;RBMS3;CSF1R;NNMT;ADH1C;SHMT1;GSTP1;SLC1A1;NR1I2;SLC1A2;HSD17B13;PTN;PTGS2;CFP;CYP3A4;THBS1;ACMSD;ADH4;CYP2B6;SULT1E1;CCL5;NTF3;CCL3;CCL2;HMOX1;FYN;NCAM1;CD14;GPC4;NPTX2;SNCA;RIC3;EGR1;BCHE;GCH1;IGF2;LILRB1;IGF1;ESR1;NR4A2;MSRA;IL6;CXCL12;NAT2;CYP1A2;CYP1A1;FAS;PDE7B
Human immunodeficiency virus, type 2 [HIV-2] infection in conditions classified elsewhere and of unspecified site	7/41	0.00546204449543362	0.0313801549826941	7	0.170731707317073	CCR1;RCL1;ITIH4;NR1I2;SARDH;CD38;CXCR6
Laryngeal neoplasm	7/41	0.00546204449543362	0.0313801549826941	7	0.170731707317073	ADH1C;NAT1;ADH1B;NAT2;PTGS2;PROM1;S100A8
Hypercalcemia	12/98	0.00581165720950138	0.0333346108013377	12	0.122448979591837	IL6;NR4A3;TRPV6;IL1B;CCL3;HLA-DPB1;S100A12;ALPL;TNFRSF11B;FGF23;ESR1;CFTR
Myelofibrosis	12/98	0.00581165720950138	0.0333346108013377	12	0.122448979591837	SELP;NFE2;CXCL12;HPGD;EPO;IL1B;TBXAS1;KRT7;RARB;TNFRSF11B;THBS1;BMP6
Carcinomatosis of peritoneal cavity	8/52	0.00588181284353686	0.0336280059019013	8	0.153846153846154	NTRK2;ZEB2;CXCL12;CD80;HGF;AGTR1;AREG;ATF3
Drug usage	8/52	0.00588181284353686	0.0336280059019013	8	0.153846153846154	CRP;CYP2C9;ZFP36;CLEC4M;IL1B;GPT;PTGS2;SELE
Malignant ascites	8/52	0.00588181284353686	0.0336280059019013	8	0.153846153846154	CXCL12;CD80;HGF;LPA;PTGS2;MCC;AREG;TNFRSF10D
Non-arthropod borne lymphocytic choriomeningitis	8/52	0.00588181284353686	0.0336280059019013	8	0.153846153846154	EOMES;EGR2;SELL;PRF1;GZMB;FAS;IL7R;STX11
Noninfiltrating Intraductal Carcinoma	26/287	0.00589365503926544	0.033668515228346	26	0.0905923344947735	DIRAS3;GSTP1;PTGER2;SERPINE1;FHL2;PTGS2;SULT1E1;MYC;LEPR;CD33;MME;HGF;IGFBP3;NRG1;ESR1;EREG;SULF2;AR;SFRP1;KRT19;NCOR1;CXCL12;RBP1;AGTR1;S100A8;RBMS3
Iron deficiency	9/63	0.00590621720122611	0.0337130688308697	9	0.142857142857143	CRP;BDH2;EPO;IL1B;CYBRD1;HBA1;IGF1;FGF23;HAMP
Follicular adenoma	15/136	0.00593230163055645	0.0338346744086048	15	0.110294117647059	ECM1;MMP7;HGF;MMP2;MT1M;AQP4;IGF1;PTGS2;FOSL1;NR4A1;F9;SELL;MT1G;FGFR2;ABCG2
Mammary Tumorigenesis	18/176	0.0060835222551502	0.0346692194218624	18	0.102272727272727	MMP7;IL24;TGFA;PLA2G4A;GATA3;VTCN1;IGF1;PTGS2;KLF4;ESR1;AREG;EREG;RND1;TIAM1;RASD1;MMRN1;MYC;LPA
Fibrillation	6/32	0.00618800449807137	0.0351514412819817	6	0.1875	NGFR;CA2;TGFB3;IGFALS;S100A8;SNCA
Hallopeau-Siemens Disease	6/32	0.00618800449807137	0.0351514412819817	6	0.1875	MMP7;IGFBP3;MMP2;SLCO1B3;THBS1;DCN
Iron deficiency anemia	6/32	0.00618800449807137	0.0351514412819817	6	0.1875	EPO;IL1B;HBB;FAS;HBA1;HAMP
Subacute Sclerosing Panencephalitis	6/32	0.00618800449807137	0.0351514412819817	6	0.1875	IL6;IL18;AGTR1;CD38;MYOM2;SNCA
Degenerative Diseases, Central Nervous System	7/42	0.00625968103909869	0.0353679398570835	7	0.166666666666667	NGFR;IL6;EPO;LRRK2;KYNU;HMOX1;SNCA
Aortic aneurysm without mention of rupture NOS	7/42	0.00625968103909869	0.0353679398570835	7	0.166666666666667	MMP2;SERPINE1;S100A12;CCL2;TNFRSF11B;KLF4;THBS1
Drug Allergy	7/42	0.00625968103909869	0.0353679398570835	7	0.166666666666667	CYP2C9;NAT2;GSTP1;TBXAS1;FCER1A;GZMB;PTGS1
High urine occult blood	7/42	0.00625968103909869	0.0353679398570835	7	0.166666666666667	COL4A4;SLITRK6;HLA-DPB1;HBB;HMOX1;PTPN22;DNASE1L3
Vascular Neoplasms	7/42	0.00625968103909869	0.0353679398570835	7	0.166666666666667	TAT;MYC;FOSB;FOS;TEK;PROM1;F3
Mitral Valve Stenosis	10/75	0.00626109475006013	0.0353679398570835	10	0.133333333333333	CRP;LAG3;IL1B;GRM8;ADAMTSL2;HLA-DPB1;HMOX1;CCL2;TNFRSF11B;CD14
Ovarian Cysts	10/75	0.00626109475006013	0.0353679398570835	10	0.133333333333333	C1QB;CD274;IL6;MMP2;TIMD4;PTGS2;MS4A1;ESR1;MBL2;PTGS1
Nicotine Dependence	14/124	0.00628431194312567	0.0354707814461272	14	0.112903225806452	NTRK2;ADH1C;CHRNA4;ADH1B;DBH;FTCD;IL6;CYP2A6;CYP2B6;NR4A3;CAMK4;NTF3;NCAM1;CYP2E1
